"RESPNO";"withinwt_ea";"URBRUR";"REGION";"EA_SVC_A";"EA_SVC_B";"EA_FAC_B";"EA_ROAD_C";"THISINT";"ADULT_CT";"CALLS";"Q1";"Q2";"Q46F";"Q46G";"Q46H";"Q46I";"Q57A";"Q57B";"Q58A";"Q58C";"Q90D";"Q90F";"Q90G";"Q91C";"Q92A";"Q94";"LENGTH";"Q101";"Q102";"Q103"
"CDI0247";0.895390881712922;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Bonne";"Homme";"2";"1";"22";"Français";"Très mal";"Plutôt mal";"Plutôt mal";"Très mal";"Non";"Oui";"Non";"Ne s’inquiète pas de la COVID-19/COVID n'est pas sérieuse/N'est pas mortelle";"Oui (en possède personnellement)";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, hors de la concession";"Oui";"Université inachevée";42;"Homme";"Noir / Africain";"Français"
"CDI0400";0.80804202552496;"Urbain";"TONKPI";"Oui";"Oui";"Oui";"Passable";"Homme";"18";"1";"23";"Français";"Plutôt mal";"Très bien";"Très bien";"Plutôt bien";"Non";"Non";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, hors de la concession";"Oui";"Enseignement secondaire / lycée inachevé";112;"Homme";"Noir / Africain";"Français"
"CDI0186";1.07662230266083;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Très mauvaise";"Homme";"1";"1";"32";"Baoulé";"Très mal";"Très mal";"Très mal";"Plutôt mal";"Non";"Non";"Non";"Je ne cours aucun risque ou risque faible de choper la COVID-19/Faible risque de contracter la COVID-19";"Non. Personne dans le ménage n’en possède";"Non. Personne dans le ménage n’en possède";"Non applicable";"Oui, à l’intérieur de la concession";"Oui";"Pas d’enseignement formel";73;"Homme";"Noir / Africain";"Français"
"CDI0688";0.81608709597603;"Urbain";"PORO";"Oui";"Oui";"Oui";"Très bonne";"Femme";"2";"1";"22";"Malinké / Dioula";"Plutôt bien";"Plutôt bien";"Plutôt bien";"Plutôt bien";"Non";"Non";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Enseignement secondaire / lycée inachevé";63;"Femme";"Noir / Africain";"Français"
"CDI1188";0.965982729911639;"Rural";"TONKPI";"Oui";"Non";"Oui";"Passable";"Femme";"2";"1";"22";"Yacouba";"Très bien";"Très bien";"Plutôt bien";"Plutôt bien";"Non";"Non";"Non";"Le vaccin n’est pas sûr";"Non. Personne dans le ménage n’en possède";"Non. Personne dans le ménage n’en possède";"Non applicable";"Oui, hors de la concession";"Non";"Enseignement primaire inachevé";97;"Femme";"Noir / Africain";"Français"
"CDI0471";1.14655986531007;"Urbain";"PORO";"Oui";"Non";"Oui";"Passable";"Femme";"2";"1";"22";"Malinké / Dioula";"Plutôt mal";"Plutôt bien";"Plutôt bien";"Plutôt bien";"Non";"Non";"Non";"Non applicable";"Quelqu’un d’autre dans le ménage en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Enseignement informel seulement  (y compris enseignement coranique )";84;"Femme";"Noir / Africain";"Français"
"CDI0227";0.895390881712922;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Bonne";"Femme";"3";"1";"19";"Français";"Plutôt mal";"Plutôt bien";"Plutôt mal";"Plutôt mal";"Non";"Non";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Enseignement secondaire / lycée inachevé";64;"Femme";"Noir / Africain";"Français"
"CDI0774";0.81628706804155;"Urbain";"HAUT-SASSANDRA";"Oui";"Non";"Oui";"Bonne";"Homme";"1";"1";"42";"Sénoufo";"Très mal";"Plutôt bien";"Plutôt bien";"Très mal";"Non";"Non";"Oui";"Non applicable";"Oui (en possède personnellement)";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Université achevée";68;"Homme";"Noir / Africain";"Français"
"CDI0358";0.8805699266471;"Rural";"HAUT-SASSANDRA";"Non";"Non";"Oui";"Passable";"Homme";"2";"1";"31";"Baoulé";"Plutôt bien";"Plutôt bien";"Plutôt bien";"Plutôt bien";"Non";"Non";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, hors de la concession";"Non";"Enseignement primaire inachevé";85;"Homme";"Noir / Africain";"Français"
"CDI0161";1.00215592672679;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Passable";"Femme";"3";"1";"23";"Agny";"Plutôt mal";"Plutôt bien";"Plutôt bien";"Plutôt bien";"Non";"Non";"Non";"Ne fait pas confiance au vaccin/Inquiet de recevoir un vaccin faux ou contrefait";"Quelqu’un d’autre dans le ménage en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement primaire inachevé";94;"Femme";"Noir / Africain";"Français"
"CDI0117";1.03714615156326;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Bonne";"Femme";"4";"1";"50";"Malinké / Dioula";"Très mal";"Très bien";"Très bien";"Très bien";"Non";"Non";"Non";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement primaire achevé";59;"Femme";"Noir / Africain";"Malinké / Dioula"
"CDI0804";1.0051726932743;"Rural";"GONTOUGO";"Non";"Non";"Oui";"Passable";"Femme";"1";"1";"35";"Abron";"Ne sait pas / N’en a pas suffisamment entendu parler";"Plutôt bien";"Plutôt bien";"Plutôt bien";"Non";"Non";"Non";"COVID n'existe pas/La COVID n'est pas réelle";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, hors de la concession";"Oui";"Enseignement secondaire / lycée inachevé";67;"Femme";"Noir / Africain";"Français"
"CDI0417";1.05603002341713;"Rural";"HAUT-SASSANDRA";"Oui";"Oui";"Oui";"Bonne";"Homme";"5";"1";"60";"Autre";"Plutôt mal";"Plutôt bien";"Plutôt bien";"Plutôt mal";"Non";"Non";"Non";"Je ne cours aucun risque ou risque faible de choper la COVID-19/Faible risque de contracter la COVID-19";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, hors de la concession";"Oui";"Enseignement secondaire / lycée achevé";126;"Homme";"Noir / Africain";"Français"
"CDI0377";0.834647290153479;"Rural";"BAGOUE";"Oui";"Oui";"Non";"Mauvaise";"Femme";"6";"1";"19";"Sénoufo";"Plutôt bien";"Plutôt bien";"Plutôt bien";"Plutôt bien";"Non";"Oui";"Non";"Non applicable";"Quelqu’un d’autre dans le ménage en possède";"Quelqu’un d’autre dans le ménage en possède";"Non applicable";"Oui, à l’intérieur de la concession";"Oui";"Enseignement secondaire / lycée inachevé";86;"Femme";"Noir / Africain";"Français"
"CDI0577";1.24112336277389;"Urbain";"GÔH";"Oui";"Non";"Oui";"Très mauvaise";"Femme";"2";"1";"38";"Français";"Plutôt mal";"Plutôt bien";"Plutôt bien";"Très mal";"Non";"Non";"Non";"Le vaccin n’est pas sûr";"Quelqu’un d’autre dans le ménage en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement primaire inachevé";77;"Femme";"Noir / Africain";"Français"
"CDI0627";0.938330082726679;"Rural";"HAUT-SASSANDRA";"Oui";"Oui";"Oui";"Bonne";"Homme";"2";"1";"50";"Bété";"Plutôt mal";"Plutôt bien";"Plutôt bien";"Plutôt mal";"Non";"Oui";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Enseignement primaire achevé";71;"Homme";"Noir / Africain";"Français"
"CDI0604";0.938330082726679;"Rural";"HAUT-SASSANDRA";"Oui";"Oui";"Oui";"Bonne";"Femme";"2";"1";"38";"Bété";"Très mal";"Plutôt mal";"Très mal";"Plutôt mal";"Non";"Non";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Enseignement secondaire / lycée inachevé";107;"Femme";"Noir / Africain";"Français"
"CDI0406";1.05603002341713;"Rural";"HAUT-SASSANDRA";"Oui";"Oui";"Oui";"Bonne";"Femme";"3";"1";"39";"Autre";"Plutôt mal";"Plutôt mal";"Plutôt mal";"Très mal";"Non";"Non";"Non";"COVID n'existe pas/La COVID n'est pas réelle";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, hors de la concession";"Oui";"Enseignement primaire achevé";107;"Femme";"Noir / Africain";"Français"
"CDI1102";0.700658818436144;"Rural";"MORONOU";"Oui";"Non";"Oui";"Passable";"Homme";"6";"1";"45";"Agny";"Plutôt bien";"Plutôt bien";"Plutôt bien";"Plutôt bien";"Non";"Non";"Non";"COVID n'existe pas/La COVID n'est pas réelle";"Non. Personne dans le ménage n’en possède";"Non. Personne dans le ménage n’en possède";"Non applicable";"Oui, hors de la concession";"Non";"Enseignement primaire inachevé";70;"Homme";"Noir / Africain";"Français"
"CDI0744";0.81628706804155;"Urbain";"HAUT-SASSANDRA";"Oui";"Non";"Oui";"Bonne";"Femme";"2";"1";"41";"Yacouba";"Très mal";"Plutôt mal";"Plutôt bien";"Très mal";"Non";"Non";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, hors de la concession";"Oui";"Pas d’enseignement formel";94;"Femme";"Noir / Africain";"Français"
"CDI0565";1.50606064171008;"Urbain";"HAUT-SASSANDRA";"Oui";"Oui";"Oui";"Passable";"Femme";"4";"1";"38";"Adjoukrou";"Très mal";"Plutôt bien";"Plutôt mal";"Très mal";"Non";"Non";"Non";"Ne fait pas confiance au vaccin/Inquiet de recevoir un vaccin faux ou contrefait";"Oui (en possède personnellement)";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Université achevée";94;"Femme";"Noir / Africain";"Français"
"CDI1100";0.95127876222688;"Urbain";"TONKPI";"Oui";"Oui";"Oui";"Très bonne";"Femme";"2";"1";"63";"Malinké / Dioula";"Très bien";"Très bien";"Très bien";"Plutôt bien";"Non";"Non";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la concession";"Oui";"Enseignement primaire achevé";69;"Femme";"Noir / Africain";"Français"
"CDI0515";0.95600197052306;"Urbain";"HAUT-SASSANDRA";"Oui";"Non";"Oui";"Bonne";"Homme";"2";"1";"48";"Gouro";"Très mal";"Plutôt bien";"Plutôt bien";"Plutôt mal";"Non";"Non";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Non (N’a pas accès à l’internet)";"Oui, hors de la concession";"Non";"Enseignement secondaire / lycée inachevé";101;"Homme";"Noir / Africain";"Français"
"CDI0941";0.793641105165199;"Urbain";"INDENIE-DJUABLIN";"Oui";"Oui";"Oui";"Bonne";"Homme";"5";"1";"63";"Français";"Très bien";"Plutôt bien";"Plutôt bien";"Plutôt bien";"Non";"Non";"Non";"Non applicable";"Oui (en possède personnellement)";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Université achevée";85;"Homme";"Noir / Africain";"Français"
"CDI0123";0.965371331385876;"Urbain";"ABIDJAN";"Oui";"Oui";"Oui";"Bonne";"Homme";"1";"1";"20";"Français";"Plutôt bien";"Plutôt bien";"Très bien";"Plutôt bien";"Non";"Non";"Non";"Ne fait pas confiance au vaccin/Inquiet de recevoir un vaccin faux ou contrefait";"Oui (en possède personnellement)";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Université inachevée";104;"Homme";"Noir / Africain";"Français"
"CDI1119";0.95127876222688;"Urbain";"TONKPI";"Oui";"Oui";"Oui";"Très bonne";"Homme";"6";"1";"40";"Malinké / Dioula";"Plutôt bien";"Plutôt bien";"Très bien";"Plutôt bien";"Non";"Non";"Oui";"Non applicable";"Non. Personne dans le ménage n’en possède";"Oui (en possède personnellement)";"Oui (A accès à l’internet)";"Oui, à l’intérieur de la maison";"Oui";"Enseignement secondaire / lycée achevé";96;"Homme";"Noir / Africain";"Français"
